LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Polygonum aviculare,simple,43221,114658,Polygonaceae,1
Polypodium vulgare,compound,43323,115016,Polypodiaceae,1
Populus alba,simple,43493,115110,Salicaceae,1
Populus nigra,simple,43519,115145,Salicaceae,1
Populus tremula,simple,43532,115156,Salicaceae,1
Portulaca oleracea,simple,43573,115215,Portulacaceae,1
Potamogeton natans,simple,43614,115280,Potamogetonaceae,1
Potentilla argentea,compound,43638,115407,Rosaceae,1
Potentilla erecta,compound,43663,115470,Rosaceae,1
Potentilla reptans,compound,43716,115624,Rosaceae,1
Prenanthes purpurea,simple,44013,115813,Asteraceae,1
Primula elatior,simple,44042,115865,Primulaceae,1
Primula farinosa,simple,44044,115868,Primulaceae,1
Primula veris,simple,44078,115918,Primulaceae,1
Prunella vulgaris,simple,44289,116012,Lamiaceae,1
Prunus avium,simple,44304,116043,Rosaceae,1
Prunus laurocerasus,simple,44364,116089,Rosaceae,1
Prunus mahaleb,simple,44371,116096,Rosaceae,1
Prunus padus,simple,44388,116109,Rosaceae,1
Prunus spinosa,simple,44422,116142,Rosaceae,1
Pseudotsuga menziesii,simple,44567,116216,Pinaceae,1
Pteridium aquilinum,compound,44805,116265,Dennstaedtiaceae,1
Pulicaria dysenterica,simple,45023,116392,Asteraceae,1
Pulmonaria australis,simple,45034,116412,Boraginaceae,1
Pulmonaria longifolia,simple,45036,116416,Boraginaceae,1
Pulmonaria officinalis,simple,45040,116422,Boraginaceae,1
Pulsatilla vernalis,compound,45060,116459,Ranunculaceae,1
Pulsatilla vulgaris,compound,45061,116460,Ranunculaceae,1
Pyrola rotundifolia,simple,45189,116547,Ericaceae,1
Pyrus communis,simple,45232,116574,Rosaceae,1
Quercus ilex,simple,45402,116704,Fagaceae,1
Quercus petraea,simple,45457,521658,Fagaceae,1
Quercus pubescens,simple,45465,116751,Fagaceae,1
Quercus pyrenaica,simple,45468,116754,Fagaceae,1
Quercus robur,simple,45470,116759,Fagaceae,1
