"AccSpeciesName","AccSpeciesID","CD_REF","FAMILLE"
"Symphyotrichum novae-angliae",71836,125331,"Asteraceae"
"Symphyotrichum novi-belgii",64917,448412,"Asteraceae"
"Symphyotrichum pilosum",64919,717577,"Asteraceae"
"Symphytum asperum",52527,125341,"Boraginaceae"
"Symphytum bulbosum",52528,125343,"Boraginaceae"
"Symphytum caucasicum",99006,160311,"Boraginaceae"
"Symphytum grandiflorum",52529,611413,"Boraginaceae"
"Symphytum officinale",52530,125355,"Boraginaceae"
"Symphytum orientale",52531,125356,"Boraginaceae"
"Symphytum tuberosum",52532,125364,"Boraginaceae"
"Syringa vulgaris",52666,125391,"Oleaceae"
"Taeniatherum caput-medusae",52915,125397,"Poaceae"
"Tagetes minuta",52924,125404,"Asteraceae"
"Tagetes patula",52925,125405,"Asteraceae"
"Tamarix africana",52972,125412,"Tamaricaceae"
"Tamarix gallica",52980,125426,"Tamaricaceae"
"Tamarix parviflora",52991,125437,"Tamaricaceae"
"Tamarix ramosissima",52994,125439,"Tamaricaceae"
"Tanacetum audibertii",457768,125456,"Asteraceae"
"Tanacetum balsamita",53004,125457,"Asteraceae"
"Tanacetum cinerariifolium",53008,125459,"Asteraceae"
"Tanacetum corymbosum",53011,125460,"Asteraceae"
"Tanacetum macrophyllum",53013,125464,"Asteraceae"
"Tanacetum parthenium",53016,125469,"Asteraceae"
"Tanacetum vulgare",53018,125474,"Asteraceae"
"Taraxacum adamii",53061,125481,"Asteraceae"
"Taraxacum aestivum",99432,125486,"Asteraceae"
"Taraxacum alatum",53066,125491,"Asteraceae"
"Taraxacum anglicum",53078,125499,"Asteraceae"
"Taraxacum aquilonare",99435,125502,"Asteraceae"
"Taraxacum atactum",53086,717583,"Asteraceae"
"Taraxacum austrinum",53091,125512,"Asteraceae"
"Taraxacum balticiforme",53093,125517,"Asteraceae"
"Taraxacum boekmanii",53100,717586,"Asteraceae"
"Taraxacum bracteatum",53104,125526,"Asteraceae"
"Taraxacum ciliare",457818,125544,"Asteraceae"
"Taraxacum cucullatum",53141,125559,"Asteraceae"
"Taraxacum decrepitum",391790,788830,"Asteraceae"
"Taraxacum dunense",99447,125577,"Asteraceae"
"Taraxacum duplidentifrons",53160,717600,"Asteraceae"
"Taraxacum erythrospermum",53168,125585,"Asteraceae"
"Taraxacum fontanicola",53184,125598,"Asteraceae"
"Taraxacum fontanosquameum",53185,125599,"Asteraceae"
"Taraxacum fulviforme",99448,125601,"Asteraceae"
"Taraxacum gelertii",53191,125606,"Asteraceae"
"Taraxacum gelricum",53193,125607,"Asteraceae"
"Taraxacum hamatiforme",53206,125620,"Asteraceae"
"Taraxacum hamatulum",53207,125622,"Asteraceae"
"Taraxacum hamatum",53208,125623,"Asteraceae"
"Taraxacum hamiferum",53209,125624,"Asteraceae"
"Taraxacum helveticum",53212,125628,"Asteraceae"
"Taraxacum herae",391817,717608,"Asteraceae"
"Taraxacum hollandicum",53214,125632,"Asteraceae"
"Taraxacum hygrophilum",53217,611680,"Asteraceae"
"Taraxacum irrigatum",53228,717613,"Asteraceae"
"Taraxacum lacistophylloides",53240,611672,"Asteraceae"
"Taraxacum lacistophyllum",53241,125640,"Asteraceae"
"Taraxacum lamprophyllum",53246,611683,"Asteraceae"
"Taraxacum maculatum",53274,125654,"Asteraceae"
"Taraxacum madidum",53276,717620,"Asteraceae"
"Taraxacum marklundii",53281,125656,"Asteraceae"
"Taraxacum mattmarkense",99464,125659,"Asteraceae"
"Taraxacum minimum",391843,125664,"Asteraceae"
"Taraxacum multilepis",53291,125667,"Asteraceae"
"Taraxacum nordstedtii",53297,125674,"Asteraceae"
"Taraxacum obovatum",99470,125676,"Asteraceae"
"Taraxacum officinale",391852,717630,"Asteraceae"
"Taraxacum ooststroomii",53313,611682,"Asteraceae"
"Taraxacum ostenfeldii",53315,717633,"Asteraceae"
"Taraxacum palustre",53323,125686,"Asteraceae"
"Taraxacum panalpinum",53324,125687,"Asteraceae"
"Taraxacum parnassicum",265471,717637,"Asteraceae"
"Taraxacum perfissum",53339,125692,"Asteraceae"
"Taraxacum prionum",53362,717641,"Asteraceae"
"Taraxacum pseudohamatum",457860,717643,"Asteraceae"
"Taraxacum pulcherrimum",53372,717646,"Asteraceae"
"Taraxacum purpureomarginatum",457863,125716,"Asteraceae"
"Taraxacum pyroporum",265478,125720,"Asteraceae"
"Taraxacum quadrans",53380,125722,"Asteraceae"
"Taraxacum reophilum",99483,125726,"Asteraceae"
"Taraxacum rubicundum",53391,125736,"Asteraceae"
"Taraxacum saasense",265481,125741,"Asteraceae"
"Taraxacum scanicum",53399,125746,"Asteraceae"
"Taraxacum schroeterianum",71869,125747,"Asteraceae"
"Taraxacum subditivum",53431,717652,"Asteraceae"
"Taraxacum subericinum",53433,125764,"Asteraceae"
"Taraxacum taeniatum",53449,717655,"Asteraceae"
"Taraxacum tanyolobum",53450,125770,"Asteraceae"
"Taraxacum tortilobum",53457,125776,"Asteraceae"
"Taraxacum udum",53464,125782,"Asteraceae"
"Taraxacum venustum",53476,717660,"Asteraceae"
"Taxodium distichum",53523,125811,"Cupressaceae"
"Taxus baccata",53526,125816,"Taxaceae"
"Teesdalia coronopifolia",53568,125826,"Brassicaceae"
"Teesdalia nudicaulis",53569,125831,"Brassicaceae"
"Telekia speciosa",53581,125838,"Asteraceae"
"Telephium imperati",53583,125842,"Caryophyllaceae"
"Tephroseris balbisiana",99553,125892,"Asteraceae"
"Tephroseris helenitis",53601,125894,"Asteraceae"
"Tephroseris integrifolia",53602,125895,"Asteraceae"
"Tephroseris palustris",53605,125899,"Asteraceae"
"Tetraclinis articulata",53837,611328,"Cupressaceae"
"Tetragonia tetragonoides",53866,125935,"Aizoaceae"
"Teucrium aristatum",99682,125970,"Lamiaceae"
"Teucrium aureum",99683,125972,"Lamiaceae"
"Teucrium botrys",53944,125976,"Lamiaceae"
"Teucrium capitatum",53947,125979,"Lamiaceae"
"Teucrium chamaedrys",53949,125981,"Lamiaceae"
"Teucrium dunense",99685,125990,"Lamiaceae"
"Teucrium flavum",53957,125994,"Lamiaceae"
"Teucrium fruticans",53958,125995,"Lamiaceae"
"Teucrium lucidum",99688,126002,"Lamiaceae"
"Teucrium marum",99690,126006,"Lamiaceae"
"Teucrium massiliense",99691,126007,"Lamiaceae"
"Teucrium montanum",53962,126008,"Lamiaceae"
"Teucrium polium",53965,126019,"Lamiaceae"
"Teucrium pseudochamaepitys",53966,126023,"Lamiaceae"
"Teucrium pyrenaicum",392992,126027,"Lamiaceae"
"Teucrium rouyanum",393003,126032,"Lamiaceae"
"Teucrium scordium",53972,126034,"Lamiaceae"
"Teucrium scorodonia",53973,126035,"Lamiaceae"
"Thalictrum alpinum",53979,126070,"Ranunculaceae"
"Thalictrum aquilegiifolium",53981,126078,"Ranunculaceae"
"Thalictrum flavum",53988,126124,"Ranunculaceae"
"Thalictrum foetidum",53990,126127,"Ranunculaceae"
"Thalictrum lucidum",53991,126150,"Ranunculaceae"
"Thalictrum macrocarpum",99708,126152,"Ranunculaceae"
"Thalictrum minus",53993,126159,"Ranunculaceae"
"Thalictrum simplex",54003,126213,"Ranunculaceae"
"Thalictrum tuberosum",71958,126229,"Ranunculaceae"
"Thapsia villosa",54028,126248,"Apiaceae"
"Theligonum cynocrambe",54043,126268,"Rubiaceae"
"Thelypteris palustris",54079,126276,"Thelypteridaceae"
"Thesium alpinum",54116,126287,"Thesiaceae"
"Thesium corsalpinum",266435,126292,"Thesiaceae"
"Thesium humifusum",54123,126298,"Thesiaceae"
"Thesium humile",54124,126299,"Thesiaceae"
"Thesium kyrnosum",99776,126303,"Thesiaceae"
"Thesium pyrenaicum",54127,126310,"Thesiaceae"
"Thlaspi arvense",54165,126332,"Brassicaceae"
"Thuja occidentalis",54206,126449,"Cupressaceae"
"Thuja plicata",54208,126451,"Cupressaceae"
"Thymelaea calycina",99842,126461,"Thymelaeaceae"
"Thymelaea dioica",99843,126465,"Thymelaeaceae"
"Thymelaea hirsuta",54221,126469,"Thymelaeaceae"
"Thymelaea passerina",54222,126474,"Thymelaeaceae"
"Thymelaea ruizii",266767,126477,"Thymelaeaceae"
"Thymelaea sanamunda",99845,126478,"Thymelaeaceae"
"Thymelaea tartonraira",54224,126479,"Thymelaeaceae"
"Thymelaea tinctoria",54225,126481,"Thymelaeaceae"
"Thymus dolomiticus",99851,126514,"Lamiaceae"
"Thymus embergeri",99852,126517,"Lamiaceae"
"Thymus herba-barona",99853,126525,"Lamiaceae"
"Thymus longicaulis",54250,126541,"Lamiaceae"
"Thymus nervosus",99856,126551,"Lamiaceae"
"Thymus nitens",54253,126552,"Lamiaceae"
"Thymus oenipontanus",54256,126555,"Lamiaceae"
"Thymus pulegioides",54265,126566,"Lamiaceae"
"Thymus serpyllum",54268,126573,"Lamiaceae"
"Thymus vulgaris",54274,126582,"Lamiaceae"
"Tilia cordata",54325,126628,"Malvaceae"
"Tilia platyphyllos",54344,126650,"Malvaceae"
"Tilia tomentosa",54348,126662,"Malvaceae"
"Tofieldia calyculata",54444,126798,"Tofieldiaceae"
"Tofieldia pusilla",54448,126806,"Tofieldiaceae"
"Tolpis staticifolia",54453,126821,"Asteraceae"
"Tolpis umbellata",394860,126822,"Asteraceae"
"Tolpis virgata",100014,126823,"Asteraceae"
"Tordylium aegyptiacum",54470,717667,"Apiaceae"
"Tordylium apulum",54471,126829,"Apiaceae"
"Tordylium maximum",54472,126837,"Apiaceae"
"Tordylium syriacum",72021,717669,"Apiaceae"
"Torilis arvensis",54487,126846,"Apiaceae"
"Torilis japonica",54489,126859,"Apiaceae"
"Torilis leptophylla",54490,126861,"Apiaceae"
"Torilis nodosa",54491,126865,"Apiaceae"
"Toxicodendron radicans",54547,126914,"Anacardiaceae"
"Tozzia alpina",54550,126925,"Orobanchaceae"
"Trachelium caeruleum",54551,126930,"Campanulaceae"
"Trachycarpus fortunei",54567,126933,"Arecaceae"
"Tradescantia fluminensis",54591,126954,"Commelinaceae"
"Tragopogon crocifolius",100101,127002,"Asteraceae"
"Tragopogon dubius",54636,127005,"Asteraceae"
"Tragopogon porrifolius",54642,127028,"Asteraceae"
"Tragopogon pratensis",54643,127029,"Asteraceae"
"Tragus racemosus",54652,127070,"Poaceae"
"Trapa natans",54653,127081,"Lythraceae"
"Traunsteinera globosa",54664,127117,"Orchidaceae"
"Tribulus terrestris",54718,127131,"Zygophyllaceae"
"Trichophorum alpinum",54835,127191,"Cyperaceae"
"Trichophorum cespitosum",54837,127193,"Cyperaceae"
"Trichophorum pumilum",54838,127195,"Cyperaceae"
"Trifolium alexandrinum",54918,159942,"Fabaceae"
"Trifolium alpestre",54919,127216,"Fabaceae"
"Trifolium alpinum",54920,127219,"Fabaceae"
"Trifolium angulatum",100237,127222,"Fabaceae"
"Trifolium angustifolium",54923,127223,"Fabaceae"
"Trifolium argutum",54924,127226,"Fabaceae"
"Trifolium arvense",54926,127230,"Fabaceae"
"Trifolium aureum",54928,127233,"Fabaceae"
"Trifolium badium",54929,127237,"Fabaceae"
"Trifolium bocconei",54932,608822,"Fabaceae"
"Trifolium campestre",54936,127259,"Fabaceae"
"Trifolium cernuum",54937,127266,"Fabaceae"
"Trifolium cherleri",54938,127269,"Fabaceae"
"Trifolium cinctum",396052,127272,"Fabaceae"
"Trifolium constantinopolitanum",396054,127281,"Fabaceae"
"Trifolium dubium",54945,127294,"Fabaceae"
"Trifolium fragiferum",54948,127314,"Fabaceae"
"Trifolium glomeratum",54952,127326,"Fabaceae"
"Trifolium hirtum",54955,127333,"Fabaceae"
"Trifolium hybridum",54956,127337,"Fabaceae"
"Trifolium incarnatum",54957,127340,"Fabaceae"
