"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Meum athamanticum Jacq., 1776",108454,0,1,1,3,0,0
"Myosotis arvensis (L.) Hill, 1764",108996,0,0,0,2,0,0
"Myosotis sylvatica Hoffm., 1791",109104,0,0,0,1,0,1
"Myrica gale L., 1753",109130,0,1,2,2,0,1
"Myrrhis odorata (L.) Scop., 1771",109161,0,0,3,3,0,2
"Myrtus communis L., 1753",109186,0,1,3,3,0,1
"Narcissus poeticus L., 1753",109291,2,1,1,3,1,2
"Narcissus pseudonarcissus L., 1753",109297,1,0,1,4,1,1
"Nasturtium officinale W.T.Aiton, 1812",109422,0,0,3,3,0,1
"Nigella arvensis L., 1753",109620,0,0,1,1,0,0
"Nigella damascena L., 1753",109625,0,0,2,3,0,2
"Nuphar lutea (L.) Sm., 1809",109732,0,1,2,2,0,0
