"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
96271,"Epilobium tetragonum L., 1753",1,1,1,1,1,1,1,1,1,1,1
96508,"Equisetum arvense L., 1753",1,1,1,1,1,1,1,1,1,1,1
96523,"Equisetum hyemale L., 1753",1,1,1,1,1,1,1,1,1,1,1
96534,"Equisetum palustre L., 1753",1,1,1,1,1,1,1,1,1,1,1
96545,"Equisetum sylvaticum L., 1753",1,1,1,1,1,1,1,1,1,1,1
96546,"Equisetum telmateia Ehrh., 1783",1,1,1,1,1,1,1,1,1,1,1
96664,"Erica carnea L., 1753 [nom. cons.]",1,1,1,1,1,1,1,1,1,1,1
96665,"Erica ciliaris L., 1753",1,1,1,1,1,1,1,1,1,1,1
96667,"Erica cinerea L., 1753",1,1,1,1,1,1,1,1,1,1,1
96691,"Erica scoparia L., 1753",1,1,1,1,1,1,1,1,1,1,1
96698,"Erica vagans L., 1770 [nom. et typ. cons.]",1,1,1,1,1,1,1,1,1,1,1
96749,"Erigeron canadensis L., 1753",1,1,1,1,1,1,1,1,1,1,1
96895,"Erodium cicutarium (L.) L'Hér., 1789",1,1,1,1,1,1,1,1,1,1,1
97141,"Eryngium campestre L., 1753",1,1,1,1,1,1,1,1,1,1,1
97185,"Erysimum cheiri (L.) Crantz, 1769",1,1,1,1,1,1,1,1,1,1,1
97434,"Eupatorium cannabinum L., 1753",1,1,1,1,1,1,1,1,1,1,1
97452,"Euphorbia amygdaloides L., 1753",1,1,1,1,1,1,1,1,1,1,1
97490,"Euphorbia cyparissias L., 1753",1,1,1,1,1,1,1,1,1,1,1
97537,"Euphorbia helioscopia L., 1753",1,1,1,1,1,1,1,1,1,1,1
97556,"Euphorbia lathyris L., 1753",1,1,1,1,1,1,1,1,1,1,1
97601,"Euphorbia palustris L., 1753",1,1,1,1,1,1,1,1,1,1,1
97776,"Euphrasia nemorosa (Pers.) Wallr., 1815",1,1,1,1,1,1,1,1,1,1,1
97781,"Euphrasia officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
97947,"Fagus sylvatica L., 1753",1,1,1,1,1,1,1,1,1,1,1
98020,"Ferula communis L., 1753",1,1,1,1,1,1,1,1,1,1,1
98023,"Ferula glauca L., 1753",1,1,1,1,1,1,1,1,1,1,1
98651,"Ficaria verna Huds., 1762",1,1,1,1,1,1,1,1,1,1,1
98653,"Ficus carica L., 1753",1,1,1,1,1,1,1,1,1,1,1
98717,"Filipendula ulmaria (L.) Maxim., 1879",1,1,1,1,1,1,1,1,1,1,1
98718,"Filipendula vulgaris Moench, 1794",1,1,1,1,1,1,1,1,1,1,1
98756,"Foeniculum vulgare Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
98865,"Fragaria vesca L., 1753",1,1,1,1,1,1,1,1,1,1,1
98887,"Frangula alnus Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
98910,"Fraxinus angustifolia Vahl, 1804 [nom. cons.]",1,1,1,1,1,1,1,1,1,1,1
98921,"Fraxinus excelsior L., 1753",1,1,1,1,1,1,1,1,1,1,1
98933,"Fraxinus ornus L., 1753",1,1,1,1,1,1,1,1,1,1,1
98977,"Fritillaria meleagris L., 1753",1,1,1,1,1,1,1,1,1,1,1
99108,"Fumaria officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
99233,"Galanthus nivalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
99244,"Galatella linosyris (L.) Rchb.f., 1854",1,1,1,1,1,1,1,1,1,1,1
99260,"Galega officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
99305,"Galeopsis ladanum L., 1753",1,1,1,1,1,1,1,1,1,1,1
99329,"Galeopsis segetum Neck., 1770",1,1,1,1,1,1,1,1,1,1,1
99334,"Galeopsis tetrahit L., 1753",1,1,1,1,1,1,1,1,1,1,1
99358,"Galinsoga parviflora Cav., 1795",1,1,1,1,1,1,1,1,1,1,1
99366,"Galium album Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
99373,"Galium aparine L., 1753",1,1,1,1,1,1,1,1,1,1,1
99473,"Galium mollugo L., 1753",1,1,1,1,1,1,1,1,1,1,1
99488,"Galium odoratum (L.) Scop., 1771",1,1,1,1,1,1,1,1,1,1,1
99494,"Galium palustre L., 1753",1,1,1,1,1,1,1,1,1,1,1
99582,"Galium verum L., 1753",1,1,1,1,1,1,1,1,1,1,1
99721,"Genista anglica L., 1753",1,1,1,1,1,1,1,1,1,1,1
99735,"Genista cinerea (Vill.) DC., 1805",1,1,1,1,1,1,1,1,1,1,1
99815,"Genista scorpius (L.) DC., 1805",1,1,1,1,1,1,1,1,1,1,1
99828,"Genista tinctoria L., 1753",1,1,1,1,1,1,1,1,1,1,1
99854,"Gentiana acaulis L., 1753",1,1,1,1,1,1,1,1,1,1,1
99881,"Gentiana cruciata L., 1753",1,1,1,1,1,1,1,1,1,1,1
99903,"Gentiana lutea L., 1753",1,1,1,1,1,1,1,1,1,1,1
99922,"Gentiana pneumonanthe L., 1753",1,1,1,1,1,1,1,1,1,1,1
99929,"Gentiana purpurea L., 1753",1,1,1,1,1,1,1,1,1,1,1
99953,"Gentiana verna L., 1753",1,1,1,1,1,1,1,1,1,1,1
100142,"Geranium robertianum L., 1753",1,1,1,1,1,1,1,1,1,1,1
100144,"Geranium rotundifolium L., 1753",1,1,1,1,1,1,1,1,1,1,1
100149,"Geranium sanguineum L., 1753",1,1,1,1,1,1,1,1,1,1,1
100208,"Geum montanum L., 1753",1,1,1,1,1,1,1,1,1,1,1
100215,"Geum rivale L., 1753",1,1,1,1,1,1,1,1,1,1,1
100225,"Geum urbanum L., 1753",1,1,1,1,1,1,1,1,1,1,1
100310,"Glechoma hederacea L., 1753",1,1,1,1,1,1,1,1,1,1,1
100335,"Globularia alypum L., 1753",1,1,1,1,1,1,1,1,1,1,1
100576,"Gratiola officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
100613,"Gymnadenia nigra (L.) Rchb.f., 1856",1,1,1,1,1,1,1,1,1,1,1
100787,"Hedera helix L., 1753",1,1,1,1,1,1,1,1,1,1,1
100956,"Helianthemum nummularium (L.) Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
101080,"Helichrysum italicum (Roth) G.Don, 1830",1,1,1,1,1,1,1,1,1,1,1
101101,"Helichrysum stoechas (L.) Moench, 1794",1,1,1,1,1,1,1,1,1,1,1
101144,"Heliotropium europaeum L., 1753",1,1,1,1,1,1,1,1,1,1,1
101188,"Helleborus foetidus L., 1753",1,1,1,1,1,1,1,1,1,1,1
101202,"Helleborus viridis L., 1753",1,1,1,1,1,1,1,1,1,1,1
101253,"Hepatica nobilis Schreb., 1771",1,1,1,1,1,1,1,1,1,1,1
101300,"Heracleum sphondylium L., 1753",1,1,1,1,1,1,1,1,1,1,1
101405,"Herniaria cinerea DC., 1815",1,1,1,1,1,1,1,1,1,1,1
101411,"Herniaria glabra L., 1753",1,1,1,1,1,1,1,1,1,1,1
