"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
127386,"Trifolium michelianum","Fabaceae",1,0,NA,"LC",NA,NA,"CR","LC",NA,"VU","DD",NA,"VU","LC",NA,"EN",NA,NA,"CR",NA,"VU","CR",NA,NA,NA,NA,"not harvested"
127387,"Trifolium micranthum","Fabaceae",0,0,NA,"LC","VU","NE","DD","NT",NA,"DD","LC","LC","VU","LC","LC","RE","LC","DD","VU","VU","LC","RE",NA,NA,"VU",NA,"not harvested"
127395,"Trifolium montanum","Fabaceae",1,0,NA,"LC",NA,"EN","CR",NA,NA,"LC",NA,NA,NA,NA,"RE","VU","CR","RE","LC","LC",NA,"LC","LC","LC","LC",NA,"not harvested"
127402,"Trifolium nigrescens","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,NA,NA,NA,"LC","NE",NA,NA,NA,NA,"LC",NA,"not harvested"
127411,"Trifolium occidentale","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,"NT",NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"not harvested"
127412,"Trifolium ochroleucon","Fabaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","VU","NT","NT","RE","VU","EN","EN","LC","LC","EN","LC","NT","VU","LC",NA,"not harvested"
127416,"Trifolium ornithopodioides","Fabaceae",3,0,NA,"LC","EN",NA,"EN","NT",NA,"VU","DD",NA,"VU","LC","VU",NA,NA,"CR","DD","EN","LC","CR",NA,NA,NA,NA,"not harvested"
127419,"Trifolium pallescens","Fabaceae",1,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,"LC",NA,"not harvested"
127421,"Trifolium pallidum","Fabaceae",0,0,NA,"DD",NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127423,"Trifolium pannonicum","Fabaceae",1,1,NA,"VU","VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
