"","CD_REF","LB_NOM","FAMILLE","FR"
"3595",107886,"Melilotus albus","Fabaceae","I"
"3596",107887,"Melilotus altissimus","Fabaceae","P"
"3597",107905,"Melilotus elegans","Fabaceae","P"
"3598",107914,"Melilotus indicus","Fabaceae","P"
"3599",107917,"Melilotus italicus","Fabaceae","P"
"3600",107936,"Melilotus messanensis","Fabaceae","P"
"3601",107942,"Melilotus officinalis","Fabaceae","P"
"3602",107963,"Melilotus segetalis","Fabaceae","P"
"3603",107965,"Melilotus spicatus","Fabaceae","P"
"3604",107967,"Melilotus sulcatus","Fabaceae","P"
"3605",107992,"Melissa officinalis","Lamiaceae","P"
"3606",108003,"Melittis melissophyllum","Lamiaceae","P"
"3607",108005,"Melomphis arabica","Asparagaceae","I"
"3608",108027,"Mentha aquatica","Lamiaceae","P"
"3609",108029,"Mentha arvensis","Lamiaceae","P"
"3610",108044,"Mentha cervina","Lamiaceae","P"
"3611",108103,"Mentha longifolia","Lamiaceae","P"
"3612",108138,"Mentha pulegium","Lamiaceae","P"
"3613",108145,"Mentha requienii","Lamiaceae","P"
"3614",108166,"Mentha spicata","Lamiaceae","I"
"3615",108168,"Mentha suaveolens","Lamiaceae","P"
"3616",108345,"Menyanthes trifoliata","Menyanthaceae","P"
"3617",108350,"Mercurialis ambigua","Euphorbiaceae","P"
"3618",108351,"Mercurialis annua","Euphorbiaceae","P"
"3619",108354,"Mercurialis corsica","Euphorbiaceae","P"
"3620",108357,"Mercurialis huetii","Euphorbiaceae","P"
"3621",108361,"Mercurialis perennis","Euphorbiaceae","P"
"3622",108367,"Mercurialis tomentosa","Euphorbiaceae","P"
"3623",108391,"Mesembryanthemum crystallinum","Aizoaceae","C"
"3624",108399,"Mesembryanthemum nodiflorum","Aizoaceae","P"
"3625",108454,"Meum athamanticum","Apiaceae","P"
"3626",108477,"Mibora minima","Poaceae","P"
"3627",717309,"Micranthes clusii","Saxifragaceae","P"
"3628",108484,"Micranthes hieraciifolia","Saxifragaceae","P"
"3629",717310,"Micranthes stellaris","Saxifragaceae","P"
"3630",108504,"Micromeria filiformis","Lamiaceae","P"
